"corpus","preloaded/brown_family_1"
"subcorpus","###4073131095021655026###"
"concordance size","22312"
"query","Query:[lempos="".*-n""&lempos!=""[^[:alpha:]].*""]"
"tag", "lemma (lowercase)", "Frequency", "Freq. per million", "% of concordance"
"NP1","alec",30, 265.03874, 0.13446
"NN1","business",30, 265.03874, 0.13446
"NN1","glass",30, 265.03874, 0.13446
"NN1","lot",30, 265.03874, 0.13446
"NN1","bed",30, 265.03874, 0.13446
"NN1","work",29, 256.20412, 0.12997
"NN1","time",29, 256.20412, 0.12997
"NP1","stanley",29, 256.20412, 0.12997
"NP1","costello",29, 256.20412, 0.12997
"NP1","shayne",29, 256.20412, 0.12997
"NP1","nick",29, 256.20412, 0.12997
"NN1","building",29, 256.20412, 0.12997
"NN1","light",29, 256.20412, 0.12997
"NP1","god",28, 247.36949, 0.12549
"NN1","apartment",28, 247.36949, 0.12549
"NP1","phil",28, 247.36949, 0.12549
"NN1","idea",28, 247.36949, 0.12549
"PN1","anyone",28, 247.36949, 0.12549
"NN1","kid",28, 247.36949, 0.12549
"NN1","hotel",28, 247.36949, 0.12549
"NN1","city",28, 247.36949, 0.12549
"NN1","letter",27, 238.53487, 0.12101
"NNT1","week",27, 238.53487, 0.12101
"NN1","story",27, 238.53487, 0.12101
"NN1","word",27, 238.53487, 0.12101
"NN1","job",27, 238.53487, 0.12101
"NN1","sound",27, 238.53487, 0.12101
"RT","today",27, 238.53487, 0.12101
"NP1","felix",26, 229.70024, 0.11653
"NP1","tim",26, 229.70024, 0.11653
"NN1","question",26, 229.70024, 0.11653
"NN2","arm",26, 229.70024, 0.11653
"NN1","end",26, 229.70024, 0.11653
"NN1","pickup",26, 229.70024, 0.11653
"NN1","corner",25, 220.86562, 0.11205
"NN1","bottle",25, 220.86562, 0.11205
"NN1","husband",24, 212.03099, 0.10757
"NP1","amy",24, 212.03099, 0.10757
"NP1","josh",24, 212.03099, 0.10757
"NP1","jimmy",24, 212.03099, 0.10757
"NN2","car",24, 212.03099, 0.10757
"NN1","shoulder",24, 212.03099, 0.10757
"NN2","other",24, 212.03099, 0.10757
"NN1","driver",24, 212.03099, 0.10757
"NN1","sort",24, 212.03099, 0.10757
"II32","front",24, 212.03099, 0.10757
"NNT1","year",24, 212.03099, 0.10757
"NN2","kid",24, 212.03099, 0.10757
"NNT1","evening",24, 212.03099, 0.10757
"NN1","trial",24, 212.03099, 0.10757
"NN1","air",24, 212.03099, 0.10757
"NN1","seat",24, 212.03099, 0.10757
"NN1","boat",23, 203.19637, 0.10308
"NN1","wall",23, 203.19637, 0.10308
"PN1","nobody",23, 203.19637, 0.10308
"NN1","phone",23, 203.19637, 0.10308
"NN1","daughter",23, 203.19637, 0.10308
"NP1","anthony",23, 203.19637, 0.10308
"NP1","richie",22, 194.36174, 0.09860
"NP1","mary",22, 194.36174, 0.09860
"NN1","radio",22, 194.36174, 0.09860
"NP1","skyros",22, 194.36174, 0.09860
"NP1","killpath",22, 194.36174, 0.09860
"NN1","mouth",22, 194.36174, 0.09860
"NN1","person",22, 194.36174, 0.09860
"NN1","friend",22, 194.36174, 0.09860
"NN1","hell",22, 194.36174, 0.09860
"NN1","chair",22, 194.36174, 0.09860
"NN1","beach",22, 194.36174, 0.09860
"NN1","school",22, 194.36174, 0.09860
"NN2","word",22, 194.36174, 0.09860
"NN1","lieutenant",22, 194.36174, 0.09860
"NN1","kitchen",22, 194.36174, 0.09860
"NN1","scene",22, 194.36174, 0.09860
"NN1","court",22, 194.36174, 0.09860
"NP1","koesler",22, 194.36174, 0.09860
"NP1","asman",21, 185.52712, 0.09412
"NP1","hildie",21, 185.52712, 0.09412
"NP1","new",21, 185.52712, 0.09412
"NP1","madden",21, 185.52712, 0.09412
"NN1","picture",21, 185.52712, 0.09412
"NN1","sight",21, 185.52712, 0.09412
"NN1","back",21, 185.52712, 0.09412
"NN1","part",21, 185.52712, 0.09412
"NN1","chance",21, 185.52712, 0.09412
"NN1","truth",21, 185.52712, 0.09412
"NP1","haney",21, 185.52712, 0.09412
"NN1","priest",20, 176.69249, 0.08964
"NP1","connor",20, 176.69249, 0.08964
"NN1","look",20, 176.69249, 0.08964
"NNT2","hour",20, 176.69249, 0.08964
"NN1","sense",20, 176.69249, 0.08964
"NN1","block",20, 176.69249, 0.08964
"NN1","anger",20, 176.69249, 0.08964
"NN2","friend",20, 176.69249, 0.08964
"PN1","somebody",20, 176.69249, 0.08964
"NP1","annie",20, 176.69249, 0.08964
"NP1","gillsworth",19, 167.85787, 0.08516
"NN1","guy",19, 167.85787, 0.08516
"NN1","hope",19, 167.85787, 0.08516
"NP1","qwilleran",19, 167.85787, 0.08516
"NP1","gabriel",19, 167.85787, 0.08516
"NP1","moore",19, 167.85787, 0.08516
"NNB","miss",19, 167.85787, 0.08516
"NP1","rourke",19, 167.85787, 0.08516
"NN1","arm",19, 167.85787, 0.08516
"NN2","question",19, 167.85787, 0.08516
"NN1","lady",19, 167.85787, 0.08516
"NNT1","afternoon",19, 167.85787, 0.08516
"NN1","hospital",19, 167.85787, 0.08516
"NP1","glyn",19, 167.85787, 0.08516
"NP1","juan",19, 167.85787, 0.08516
"NN1","family",19, 167.85787, 0.08516
"NP1","cy",19, 167.85787, 0.08516
"NN1","world",18, 159.02324, 0.08067
"PN","none",18, 159.02324, 0.08067
"NP1","hoag",18, 159.02324, 0.08067
"NN2","step",18, 159.02324, 0.08067
"NN1","breath",18, 159.02324, 0.08067
"NN2","lawyer",18, 159.02324, 0.08067
"NN1","town",18, 159.02324, 0.08067
"NN1","state",18, 159.02324, 0.08067
"NNT2","month",18, 159.02324, 0.08067
"NN1","attention",18, 159.02324, 0.08067
"NN1","matter",18, 159.02324, 0.08067
"NN1","love",18, 159.02324, 0.08067
"NP1","gilborn",18, 159.02324, 0.08067
"NP1","garth",18, 159.02324, 0.08067
"NP1","fisher",17, 150.18862, 0.07619
"NP1","maude",17, 150.18862, 0.07619
"NP1","cheryl",17, 150.18862, 0.07619
"NN1","line",17, 150.18862, 0.07619
"NN1","furniture",17, 150.18862, 0.07619
"NN1","fund",17, 150.18862, 0.07619
"NN2","stair",17, 150.18862, 0.07619
"NN1","pain",17, 150.18862, 0.07619
"NN1","call",17, 150.18862, 0.07619
"NN1","cop",17, 150.18862, 0.07619
"RR22","right",17, 150.18862, 0.07619
"NN1","information",17, 150.18862, 0.07619
"NN1","thought",17, 150.18862, 0.07619
"NNT1","while",17, 150.18862, 0.07619
"NN1","crime",17, 150.18862, 0.07619
"NP1","angie",17, 150.18862, 0.07619
"NN1","party",17, 150.18862, 0.07619
"NN2","child",17, 150.18862, 0.07619
"NN1","problem",17, 150.18862, 0.07619
"NN1","silence",17, 150.18862, 0.07619
"NP1","charlie",17, 150.18862, 0.07619
"NN1","child",17, 150.18862, 0.07619
"JJR","meeker",17, 150.18862, 0.07619
"NP1","major",16, 141.35399, 0.07171
"NN2","name",16, 141.35399, 0.07171
"NN1","bar",16, 141.35399, 0.07171
"NN1","interest",16, 141.35399, 0.07171
"RT","tomorrow",16, 141.35399, 0.07171
"NN1","son",16, 141.35399, 0.07171
"NN1","eye",16, 141.35399, 0.07171
"NP1","handley",16, 141.35399, 0.07171
"NN1","news",16, 141.35399, 0.07171
"NP1","casey",16, 141.35399, 0.07171
"NP1","roosevelt",16, 141.35399, 0.07171
"NP1","arthur",16, 141.35399, 0.07171
"NN1","smile",16, 141.35399, 0.07171
"NN1","farm",16, 141.35399, 0.07171
"NP1","blanche",16, 141.35399, 0.07171
"NN1","rest",16, 141.35399, 0.07171
"NN1","drink",16, 141.35399, 0.07171
"NN1","law",16, 141.35399, 0.07171
"NN1","captain",16, 141.35399, 0.07171
"NN1","group",15, 132.51937, 0.06723
"NN2","case",15, 132.51937, 0.06723
"NP1","burton",15, 132.51937, 0.06723
"NN2","light",15, 132.51937, 0.06723
"NP1","mickey",15, 132.51937, 0.06723
"NN1","bedroom",15, 132.51937, 0.06723
"NN1","hall",15, 132.51937, 0.06723
"NN1","right",15, 132.51937, 0.06723
"NN2","time",15, 132.51937, 0.06723
"NN1","bit",15, 132.51937, 0.06723
"NN1","dress",15, 132.51937, 0.06723
"NP1","beck",15, 132.51937, 0.06723
"NN2","woman",14, 123.68475, 0.06275
"NN1","neck",14, 123.68475, 0.06275
"NN1","list",14, 123.68475, 0.06275
"PN1","everyone",14, 123.68475, 0.06275
"NN1","fear",14, 123.68475, 0.06275
"NNT1","minute",14, 123.68475, 0.06275
"NN1","sign",14, 123.68475, 0.06275
"NN2","one",14, 123.68475, 0.06275
"NP1","cooper",14, 123.68475, 0.06275
"NN2","place",14, 123.68475, 0.06275
"NN2","face",14, 123.68475, 0.06275
"NP1","marty",14, 123.68475, 0.06275
"NN1","heart",14, 123.68475, 0.06275
"NN1","answer",14, 123.68475, 0.06275
"NN1","parking",14, 123.68475, 0.06275
"NN1","hat",14, 123.68475, 0.06275
"NN2","tooth",14, 123.68475, 0.06275
"NN1","sheriff",14, 123.68475, 0.06275
"NN1","minister",14, 123.68475, 0.06275
"NN1","weight",14, 123.68475, 0.06275
"NN1","garage",14, 123.68475, 0.06275
"NN1","telephone",14, 123.68475, 0.06275
"NN1","dinner",14, 123.68475, 0.06275
"NN1","opium",14, 123.68475, 0.06275
"NN2","room",14, 123.68475, 0.06275
"NN1","area",14, 123.68475, 0.06275
"NP1","warren",14, 123.68475, 0.06275
"NN1","lobby",14, 123.68475, 0.06275
"NP1","jackie",14, 123.68475, 0.06275
"NNT2","week",14, 123.68475, 0.06275
"NPD1","saturday",14, 123.68475, 0.06275
"NN1","key",14, 123.68475, 0.06275
"NN1","color",14, 123.68475, 0.06275
"NP1","alex",13, 114.85012, 0.05826
"NP1","keegan",13, 114.85012, 0.05826
"NN1","clerk",13, 114.85012, 0.05826
"NN1","suite",13, 114.85012, 0.05826
"NNB","dr.",13, 114.85012, 0.05826
"NN1","stranger",13, 114.85012, 0.05826
"NP1","julia",13, 114.85012, 0.05826
"NP1","joan",13, 114.85012, 0.05826
"NN1","officer",13, 114.85012, 0.05826
"NN1","sheet",13, 114.85012, 0.05826
"NN1","address",13, 114.85012, 0.05826
"NN1","cigarette",13, 114.85012, 0.05826
"NP1","williams",13, 114.85012, 0.05826
"NN2","shoulder",13, 114.85012, 0.05826
"NN1","license",13, 114.85012, 0.05826
"NN2","finger",13, 114.85012, 0.05826
"NP1","glendora",13, 114.85012, 0.05826
"NP1","kitti",13, 114.85012, 0.05826
"NP1","joel",13, 114.85012, 0.05826
"NN1","lunch",13, 114.85012, 0.05826
"NN1","ball",13, 114.85012, 0.05826
"NN1","entrance",13, 114.85012, 0.05826
"NNU","rev",13, 114.85012, 0.05826
"NN1","report",13, 114.85012, 0.05826
"NN1","music",13, 114.85012, 0.05826
"NP1","jessie",13, 114.85012, 0.05826
"NP1","tillis",12, 106.01550, 0.05378
"NN1","game",12, 106.01550, 0.05378
"NN2","thought",12, 106.01550, 0.05378
"NN1","district",12, 106.01550, 0.05378
"NP1","peter",12, 106.01550, 0.05378
"NN1","sir",12, 106.01550, 0.05378
"NP1","muller",12, 106.01550, 0.05378
"NN1","island",12, 106.01550, 0.05378
"NN1","foot",12, 106.01550, 0.05378
"NN1","throat",12, 106.01550, 0.05378
"NNU2","dollar",12, 106.01550, 0.05378
"NN1","pocket",12, 106.01550, 0.05378
"NN1","company",12, 106.01550, 0.05378
"NN1","stuff",12, 106.01550, 0.05378
"NN1","help",12, 106.01550, 0.05378
"NN1","note",12, 106.01550, 0.05378
"NN1","choice",12, 106.01550, 0.05378
"NN2","house",12, 106.01550, 0.05378
"NN1","suitcase",12, 106.01550, 0.05378
"NP1","york",12, 106.01550, 0.05378
"NNT1","month",12, 106.01550, 0.05378
"JJ","green",12, 106.01550, 0.05378
"PN1","everybody",12, 106.01550, 0.05378
"NN2","clothes",12, 106.01550, 0.05378
"NN1","change",12, 106.01550, 0.05378
"NN1","motive",12, 106.01550, 0.05378
"NP1","tully",12, 106.01550, 0.05378
"NN1","step",12, 106.01550, 0.05378
"NN1","figure",12, 106.01550, 0.05378
"NN2","cat",12, 106.01550, 0.05378
"NN1","crowd",12, 106.01550, 0.05378
"NN1","homicide",12, 106.01550, 0.05378
"NN1","hub",12, 106.01550, 0.05378
"RT","yesterday",12, 106.01550, 0.05378
"NN1","control",12, 106.01550, 0.05378
"NN1","oil",12, 106.01550, 0.05378
"NP1","vince",11, 97.18087, 0.04930
"NP1","wilson",11, 97.18087, 0.04930
"NN1","curb",11, 97.18087, 0.04930
"NN1","date",11, 97.18087, 0.04930
"NP1","barton",11, 97.18087, 0.04930
"NP1","lee",11, 97.18087, 0.04930
"NP1","holden",11, 97.18087, 0.04930
"NN1","shadow",11, 97.18087, 0.04930
"NN1","spirit",11, 97.18087, 0.04930
"NN1","chest",11, 97.18087, 0.04930
"NNB","lieutenant",11, 97.18087, 0.04930
"NN1","county",11, 97.18087, 0.04930
"NN1","presence",11, 97.18087, 0.04930
"NN1","nose",11, 97.18087, 0.04930
"NNU2","mile",11, 97.18087, 0.04930
"NP1","barney",11, 97.18087, 0.04930
"NN1","brain",11, 97.18087, 0.04930
"NN1","glance",11, 97.18087, 0.04930
"NN1","blood",11, 97.18087, 0.04930
"NN1","roof",11, 97.18087, 0.04930
"PN1","anybody",11, 97.18087, 0.04930
"NN1","wagon",11, 97.18087, 0.04930
"NN1","deal",11, 97.18087, 0.04930
"NN1","accident",11, 97.18087, 0.04930
"NN1","unit",11, 97.18087, 0.04930
"NN1","bus",11, 97.18087, 0.04930
"NN1","middle",11, 97.18087, 0.04930
"NN1","killer",11, 97.18087, 0.04930
"NN2","boy",11, 97.18087, 0.04930
"NN1","top",11, 97.18087, 0.04930
"NN1","pipe",11, 97.18087, 0.04930
"NN1","neighborhood",11, 97.18087, 0.04930
"NP1","san",11, 97.18087, 0.04930
"NN1","distance",11, 97.18087, 0.04930
"NN1","cup",11, 97.18087, 0.04930
"NN1","detective",11, 97.18087, 0.04930
"NN1","service",11, 97.18087, 0.04930
"NN1","witness",11, 97.18087, 0.04930
"NN1","university",11, 97.18087, 0.04930
"NN1","feeling",11, 97.18087, 0.04930
"NN2","company",11, 97.18087, 0.04930
"NP1","thayer",11, 97.18087, 0.04930
"NP1","barclay",11, 97.18087, 0.04930
"NP1","pietro",11, 97.18087, 0.04930
"NP1","stacey",10, 88.34625, 0.04482
"NN2","lip",10, 88.34625, 0.04482
"NN2","side",10, 88.34625, 0.04482
"MC","eleven",10, 88.34625, 0.04482
"NN1","situation",10, 88.34625, 0.04482
"NN1","cove",10, 88.34625, 0.04482
"NP1","greg",10, 88.34625, 0.04482
"NP1","griffith",10, 88.34625, 0.04482
"NN1","pad",10, 88.34625, 0.04482
"NN1","policeman",10, 88.34625, 0.04482
"NN2","line",10, 88.34625, 0.04482
"NN1","razor",10, 88.34625, 0.04482
"NN1","lounge",10, 88.34625, 0.04482
"NP1","payne",10, 88.34625, 0.04482
"NN1","watch",10, 88.34625, 0.04482
"RT","tonight",10, 88.34625, 0.04482
"NN1","rain",10, 88.34625, 0.04482
"NN1","horn",10, 88.34625, 0.04482
"NNU1","inch",10, 88.34625, 0.04482
"NN1","direction",10, 88.34625, 0.04482
"NN1","bottom",10, 88.34625, 0.04482
"NN1","metal",10, 88.34625, 0.04482
"NN1","order",10, 88.34625, 0.04482
"NN1","difference",10, 88.34625, 0.04482
"NN1","bag",10, 88.34625, 0.04482
"NN1","power",10, 88.34625, 0.04482
"NN1","manner",10, 88.34625, 0.04482
"NN1","newspaper",10, 88.34625, 0.04482
"NPD1","sunday",10, 88.34625, 0.04482
"NN2","leg",10, 88.34625, 0.04482
"NN1","counter",10, 88.34625, 0.04482
"NP1","lauren",10, 88.34625, 0.04482
"NN1","traffic",10, 88.34625, 0.04482
"PN","lot",10, 88.34625, 0.04482
"NN1","motel",10, 88.34625, 0.04482
"NN1","cat",10, 88.34625, 0.04482
"NN1","investigation",10, 88.34625, 0.04482
"NN1","luck",10, 88.34625, 0.04482
"NN1","insurance",10, 88.34625, 0.04482
"NP1","george",10, 88.34625, 0.04482
"NN1","envelope",10, 88.34625, 0.04482
"VM","let''s",10, 88.34625, 0.04482
"NN2","tree",10, 88.34625, 0.04482
"NN1","autopsy",10, 88.34625, 0.04482
"NP1","carl",10, 88.34625, 0.04482
"NN1","mistake",10, 88.34625, 0.04482
"NN1","argument",10, 88.34625, 0.04482
"NN1","piece",10, 88.34625, 0.04482
"NP1","mattiece",10, 88.34625, 0.04482
"NN1","murderer",10, 88.34625, 0.04482
"NNT2","time",10, 88.34625, 0.04482
"NN1","bundle",10, 88.34625, 0.04482
"NP1","johnston",10, 88.34625, 0.04482
"NP1","elena",10, 88.34625, 0.04482
"NN1","coffin",10, 88.34625, 0.04482
"NN2","shoe",9, 79.51162, 0.04034
"NN1","baby",9, 79.51162, 0.04034
"NN1","porch",9, 79.51162, 0.04034
"NN1","danger",9, 79.51162, 0.04034
"NP1","vassago",9, 79.51162, 0.04034
"NN1","threat",9, 79.51162, 0.04034
"NN1","recorder",9, 79.51162, 0.04034
"NN2","storey",9, 79.51162, 0.04034
"NN1","jacket",9, 79.51162, 0.04034
"NN2","circumstance",9, 79.51162, 0.04034
"NP1","henry",9, 79.51162, 0.04034
"NN1","brother",9, 79.51162, 0.04034
"NN1","van",9, 79.51162, 0.04034
"NN1","occasion",9, 79.51162, 0.04034
"NPD1","monday",9, 79.51162, 0.04034
"NN2","court",9, 79.51162, 0.04034
"NN1","signal",9, 79.51162, 0.04034
"NP1","chicago",9, 79.51162, 0.04034
"NN1","mountain",9, 79.51162, 0.04034
"NN1","land",9, 79.51162, 0.04034
"NN1","seminar",9, 79.51162, 0.04034
"NP1","harris",9, 79.51162, 0.04034
"NN1","sun",9, 79.51162, 0.04034
"NN1","ceiling",9, 79.51162, 0.04034
"NP1","mahzeer",9, 79.51162, 0.04034
"NN1","dust",9, 79.51162, 0.04034
"NN1","jeep",9, 79.51162, 0.04034
"NP1","karen",9, 79.51162, 0.04034
"NN1","coat",9, 79.51162, 0.04034
"NN1","wheel",9, 79.51162, 0.04034
"MD","first",9, 79.51162, 0.04034
"NP1","pete",9, 79.51162, 0.04034
"NN1","lab",9, 79.51162, 0.04034
"NN1","form",9, 79.51162, 0.04034
"NN1","edge",9, 79.51162, 0.04034
"NN1","panic",9, 79.51162, 0.04034
"NN2","door",9, 79.51162, 0.04034
"NN1","sergeant",9, 79.51162, 0.04034
"NN1","lid",9, 79.51162, 0.04034
"NN2","letter",9, 79.51162, 0.04034
"NN1","wind",9, 79.51162, 0.04034
"NN1","breakfast",9, 79.51162, 0.04034
"NN1","care",9, 79.51162, 0.04034
"NP1","vegas",9, 79.51162, 0.04034
"NN1","surprise",9, 79.51162, 0.04034
"NN1","spot",9, 79.51162, 0.04034
"NN1","park",9, 79.51162, 0.04034
"NP1","dave",9, 79.51162, 0.04034
"NN1","estate",9, 79.51162, 0.04034
"NP1","mae",9, 79.51162, 0.04034
"NN1","stomach",9, 79.51162, 0.04034
"NNT1","instant",9, 79.51162, 0.04034
"NN1","future",9, 79.51162, 0.04034
"NN1","chin",9, 79.51162, 0.04034
"NN1","fool",9, 79.51162, 0.04034
"NN1","rifle",9, 79.51162, 0.04034
"NP1","hohlbein",9, 79.51162, 0.04034
"NN","pair",9, 79.51162, 0.04034
"NN1","knowledge",9, 79.51162, 0.04034
"NP1","hatch",9, 79.51162, 0.04034
"NN1","lawyer",9, 79.51162, 0.04034
"NN1","judge",9, 79.51162, 0.04034
"NN1","class",9, 79.51162, 0.04034
"NP1","black",9, 79.51162, 0.04034
"NN1","marriage",9, 79.51162, 0.04034
"NN1","mirror",9, 79.51162, 0.04034
"NN1","doctor",9, 79.51162, 0.04034
"NN1","client",9, 79.51162, 0.04034
"NP1","conrad",9, 79.51162, 0.04034
"NN1","faith",9, 79.51162, 0.04034
"NN1","memory",9, 79.51162, 0.04034
"NN1","landlord",9, 79.51162, 0.04034
"NN1","record",9, 79.51162, 0.04034
"NN1","shot",9, 79.51162, 0.04034
"NN1","jury",9, 79.51162, 0.04034
"NN1","program",9, 79.51162, 0.04034
"NN1","opportunity",9, 79.51162, 0.04034
"NP1","reynaldo",9, 79.51162, 0.04034
"NP1","dominick",9, 79.51162, 0.04034
"NP1","calusa",8, 70.67700, 0.03586
"NP1","matson",8, 70.67700, 0.03586
"NNT1","summer",8, 70.67700, 0.03586
"NP1","grosse",8, 70.67700, 0.03586
"NP1","billy",8, 70.67700, 0.03586
"NN1","pit",8, 70.67700, 0.03586
"NN1","lawsuit",8, 70.67700, 0.03586
"NP1","docherty",8, 70.67700, 0.03586
"NN1","computer",8, 70.67700, 0.03586
"NN1","dream",8, 70.67700, 0.03586
"NN1","red",8, 70.67700, 0.03586
"NN1","pressure",8, 70.67700, 0.03586
"NN1","investigator",8, 70.67700, 0.03586
"NNB","chief",8, 70.67700, 0.03586
"NN1","stop",8, 70.67700, 0.03586
"NN1","plane",8, 70.67700, 0.03586
"NN1","ocean",8, 70.67700, 0.03586
"NN1","comment",8, 70.67700, 0.03586
"NN2","glass",8, 70.67700, 0.03586
"NN2","chair",8, 70.67700, 0.03586
"NN1","rage",8, 70.67700, 0.03586
"NN1","highway",8, 70.67700, 0.03586
"NN2","number",8, 70.67700, 0.03586
"NN1","fist",8, 70.67700, 0.03586
"NN2","street",8, 70.67700, 0.03586
"NN1","basement",8, 70.67700, 0.03586
"NN1","show",8, 70.67700, 0.03586
"NN2","knee",8, 70.67700, 0.03586
"NN1","weapon",8, 70.67700, 0.03586
"NN1","favor",8, 70.67700, 0.03586
"NN1","past",8, 70.67700, 0.03586
"NP1","dogtown",8, 70.67700, 0.03586
"NP1","hanover",8, 70.67700, 0.03586
"NN1","front",8, 70.67700, 0.03586
"NN1","wood",8, 70.67700, 0.03586
"NN1","speed",8, 70.67700, 0.03586
"NN1","department",8, 70.67700, 0.03586
"NN1","audience",8, 70.67700, 0.03586
"NN1","gold",8, 70.67700, 0.03586
"NN1","bay",8, 70.67700, 0.03586
"MD","fifth",8, 70.67700, 0.03586
"NP1","stacy",8, 70.67700, 0.03586
"NN1","device",8, 70.67700, 0.03586
"NP1","monica",8, 70.67700, 0.03586
"NN1","fire",8, 70.67700, 0.03586
"NN1","set",8, 70.67700, 0.03586
"NN2","computer",8, 70.67700, 0.03586
"NN2","thank",8, 70.67700, 0.03586
"NN2","building",8, 70.67700, 0.03586
"ND1","south",8, 70.67700, 0.03586
"NN1","restaurant",8, 70.67700, 0.03586
"NN2","drink",8, 70.67700, 0.03586
"NN1","page",8, 70.67700, 0.03586
"NP1","jed",8, 70.67700, 0.03586
"NN1","level",8, 70.67700, 0.03586
"NN1","victim",8, 70.67700, 0.03586
"NP1","nancy",8, 70.67700, 0.03586
"NP1","pam",8, 70.67700, 0.03586
"NP1","orleans",8, 70.67700, 0.03586
"NN1","left",8, 70.67700, 0.03586
"NN1","forehead",8, 70.67700, 0.03586
"NN1","evidence",8, 70.67700, 0.03586
"NN1","agency",8, 70.67700, 0.03586
"NN1","plan",8, 70.67700, 0.03586
"NP1","lolotte",8, 70.67700, 0.03586
"NN1","firm",8, 70.67700, 0.03586
"NP1","william",8, 70.67700, 0.03586
"NP1","lou",8, 70.67700, 0.03586
"NP1","forbes",8, 70.67700, 0.03586
"NN2","investigator",8, 70.67700, 0.03586
"NP1","kerry",8, 70.67700, 0.03586
"NN1","bocce",8, 70.67700, 0.03586
"NN1","duty",7, 61.84237, 0.03137
"NNL1","avenue",7, 61.84237, 0.03137
"NN1","college",7, 61.84237, 0.03137
"NP1","keating",7, 61.84237, 0.03137
"NN1","chief",7, 61.84237, 0.03137
"NP1","lydia",7, 61.84237, 0.03137
"NP1","schulman",7, 61.84237, 0.03137
"NP1","opal",7, 61.84237, 0.03137
"NP1","engersol",7, 61.84237, 0.03137
"NP1","jeff",7, 61.84237, 0.03137
