"corpus","preloaded/brown_family_1"
"subcorpus","###5388519865610658890###"
"concordance size","42581"
"query","Query:[lempos="".*-n""&lempos!=""[^[:alpha:]].*""]"
"tag", "lemma (lowercase)", "Frequency", "Freq. per million", "% of concordance"
"NP1","mary",34, 147.54319, 0.07985
"NN1","scene",34, 147.54319, 0.07985
"NN1","father",34, 147.54319, 0.07985
"NNT1","year",34, 147.54319, 0.07985
"NP1","heather",34, 147.54319, 0.07985
"NP1","rollison",34, 147.54319, 0.07985
"NNT2","week",33, 143.20368, 0.07750
"NN1","line",33, 143.20368, 0.07750
"NN2","paper",33, 143.20368, 0.07750
"NP1","beth",33, 143.20368, 0.07750
"NP1","tarrant",33, 143.20368, 0.07750
"NP1","loddon",33, 143.20368, 0.07750
"NN1","conversation",32, 138.86418, 0.07515
"NN1","doctor",32, 138.86418, 0.07515
"NP1","george",32, 138.86418, 0.07515
"NN1","chapter",32, 138.86418, 0.07515
"NN1","crime",32, 138.86418, 0.07515
"NN1","lady",32, 138.86418, 0.07515
"NP1","farland",32, 138.86418, 0.07515
"NN1","park",31, 134.52467, 0.07280
"NN1","breath",31, 134.52467, 0.07280
"NN2","glass",31, 134.52467, 0.07280
"NN1","town",31, 134.52467, 0.07280
"NP1","sargasta",31, 134.52467, 0.07280
"NN1","family",31, 134.52467, 0.07280
"NN2","stair",31, 134.52467, 0.07280
"NN1","coat",31, 134.52467, 0.07280
"NN1","coffee",31, 134.52467, 0.07280
"NN1","attention",31, 134.52467, 0.07280
"NN1","view",31, 134.52467, 0.07280
"NP1","falkland",31, 134.52467, 0.07280
"NP1","hugh",31, 134.52467, 0.07280
"NP1","paddy",30, 130.18517, 0.07045
"NN1","hat",30, 130.18517, 0.07045
"NN1","station",30, 130.18517, 0.07045
"NN1","fire",30, 130.18517, 0.07045
"NN1","sound",30, 130.18517, 0.07045
"NP1","macleod",30, 130.18517, 0.07045
"NN2","door",30, 130.18517, 0.07045
"NN2","clothes",30, 130.18517, 0.07045
"NP1","kennan",30, 130.18517, 0.07045
"NP1","fabel",29, 125.84566, 0.06811
"NP1","olga",29, 125.84566, 0.06811
"NN1","rest",29, 125.84566, 0.06811
"NN1","jacket",29, 125.84566, 0.06811
"NN1","tea",29, 125.84566, 0.06811
"NN2","shoulder",29, 125.84566, 0.06811
"NN1","noise",29, 125.84566, 0.06811
"NN1","building",29, 125.84566, 0.06811
"NN1","sun",29, 125.84566, 0.06811
"NN1","plan",29, 125.84566, 0.06811
"NN2","tree",29, 125.84566, 0.06811
"NP1","terrel",29, 125.84566, 0.06811
"NP1","gill",29, 125.84566, 0.06811
"NN1","daughter",28, 121.50616, 0.06576
"NP1","turner",28, 121.50616, 0.06576
"NN1","city",28, 121.50616, 0.06576
"NN1","right",28, 121.50616, 0.06576
"PN1","everyone",28, 121.50616, 0.06576
"NN2","thought",28, 121.50616, 0.06576
"NP1","cameron",28, 121.50616, 0.06576
"NP1","gaffer",28, 121.50616, 0.06576
"NN2","woman",27, 117.16665, 0.06341
"NP1","mma",27, 117.16665, 0.06341
"NNB","miss",27, 117.16665, 0.06341
"NNB","sir",27, 117.16665, 0.06341
"NP1","michael",27, 117.16665, 0.06341
"NN1","bar",27, 117.16665, 0.06341
"NP1","allen",27, 117.16665, 0.06341
"PN","none",27, 117.16665, 0.06341
"NN1","food",27, 117.16665, 0.06341
"NN1","watch",27, 117.16665, 0.06341
"NN1","expression",27, 117.16665, 0.06341
"NN1","foot",27, 117.16665, 0.06341
"NN2","note",27, 117.16665, 0.06341
"NN2","window",27, 117.16665, 0.06341
"NN1","drive",27, 117.16665, 0.06341
"NN2","lip",27, 117.16665, 0.06341
"NN1","shadow",27, 117.16665, 0.06341
"NN1","action",27, 117.16665, 0.06341
"NP1","winter",27, 117.16665, 0.06341
"NP1","manrique",26, 112.82714, 0.06106
"NP1","rose",26, 112.82714, 0.06106
"NN1","love",26, 112.82714, 0.06106
"NN1","hell",26, 112.82714, 0.06106
"NN1","drink",26, 112.82714, 0.06106
"NN1","edge",26, 112.82714, 0.06106
"PN1","somebody",26, 112.82714, 0.06106
"NN1","call",26, 112.82714, 0.06106
"NN1","yard",26, 112.82714, 0.06106
"NP1","yafford",25, 108.48764, 0.05871
"NN1","company",25, 108.48764, 0.05871
"NN1","surprise",25, 108.48764, 0.05871
"NN1","bank",25, 108.48764, 0.05871
"NP1","alan",25, 108.48764, 0.05871
"NP1","gorley",25, 108.48764, 0.05871
"NN1","finger",25, 108.48764, 0.05871
"NP1","mike",25, 108.48764, 0.05871
"NNT1","week",25, 108.48764, 0.05871
"NN1","relief",25, 108.48764, 0.05871
"NN1","roof",25, 108.48764, 0.05871
"NN1","feeling",25, 108.48764, 0.05871
"NP1","felicity",25, 108.48764, 0.05871
"II32","front",25, 108.48764, 0.05871
"NP1","leo",25, 108.48764, 0.05871
"NP1","peter",25, 108.48764, 0.05871
"NP1","owen",25, 108.48764, 0.05871
"NP1","ramotswe",24, 104.14813, 0.05636
"NN1","cigarette",24, 104.14813, 0.05636
"NN1","school",24, 104.14813, 0.05636
"NN2","wall",24, 104.14813, 0.05636
"NN1","spot",24, 104.14813, 0.05636
"NNL1","street",24, 104.14813, 0.05636
"NN1","suit",24, 104.14813, 0.05636
"NN1","metal",24, 104.14813, 0.05636
"NN1","front",24, 104.14813, 0.05636
"NNT1","while",24, 104.14813, 0.05636
"NN2","step",24, 104.14813, 0.05636
"NP1","lea",24, 104.14813, 0.05636
"NN1","stuff",24, 104.14813, 0.05636
"NN1","row",24, 104.14813, 0.05636
"NN2","car",24, 104.14813, 0.05636
"NP1","boyd",24, 104.14813, 0.05636
"NP1","mallard",24, 104.14813, 0.05636
"NN1","address",23, 99.80863, 0.05401
"NN1","doubt",23, 99.80863, 0.05401
"MC","eleven",23, 99.80863, 0.05401
"NN1","cup",23, 99.80863, 0.05401
"NN2","boy",23, 99.80863, 0.05401
"NN1","sake",23, 99.80863, 0.05401
"NN1","course",23, 99.80863, 0.05401
"NN1","situation",23, 99.80863, 0.05401
"NN2","yard",23, 99.80863, 0.05401
"NN1","fear",23, 99.80863, 0.05401
"NN2","leg",23, 99.80863, 0.05401
"NN2","key",23, 99.80863, 0.05401
"NN1","beach",23, 99.80863, 0.05401
"NP1","dobree",23, 99.80863, 0.05401
"NP1","ulla",23, 99.80863, 0.05401
"NP1","cedric",23, 99.80863, 0.05401
"NP1","tom",23, 99.80863, 0.05401
"NN1","corridor",22, 95.46912, 0.05167
"NN1","interest",22, 95.46912, 0.05167
"NP1","morris",22, 95.46912, 0.05167
"NP1","malcolm",22, 95.46912, 0.05167
"NP1","killingley",22, 95.46912, 0.05167
"NN1","start",22, 95.46912, 0.05167
"NP1","james",22, 95.46912, 0.05167
"NN1","answer",22, 95.46912, 0.05167
"NN1","distance",22, 95.46912, 0.05167
"NN1","position",22, 95.46912, 0.05167
"NN1","class",22, 95.46912, 0.05167
"NN1","wind",22, 95.46912, 0.05167
"NN1","sign",22, 95.46912, 0.05167
"NNU2","mile",22, 95.46912, 0.05167
"NN1","moon",22, 95.46912, 0.05167
"NN1","stage",22, 95.46912, 0.05167
"NN1","possibility",22, 95.46912, 0.05167
"NN1","telephone",22, 95.46912, 0.05167
"NN1","age",22, 95.46912, 0.05167
"NN1","leather",22, 95.46912, 0.05167
"NP1","mcleish",22, 95.46912, 0.05167
"NP1","appleby",22, 95.46912, 0.05167
"NP1","gillian",22, 95.46912, 0.05167
"NN1","country",21, 91.12962, 0.04932
"NP1","campion",21, 91.12962, 0.04932
"NP1","pelligrew",21, 91.12962, 0.04932
"NN1","neck",21, 91.12962, 0.04932
"NP1","charles",21, 91.12962, 0.04932
"NN1","village",21, 91.12962, 0.04932
"NN1","officer",21, 91.12962, 0.04932
"NN1","problem",21, 91.12962, 0.04932
"NP1","hilary",21, 91.12962, 0.04932
"NN1","visit",21, 91.12962, 0.04932
"NN1","seat",21, 91.12962, 0.04932
"NP1","vera",21, 91.12962, 0.04932
"NN1","sea",21, 91.12962, 0.04932
"NN1","skin",21, 91.12962, 0.04932
"NN1","steel",21, 91.12962, 0.04932
"PN1","anybody",21, 91.12962, 0.04932
"NN1","photograph",21, 91.12962, 0.04932
"NN1","message",21, 91.12962, 0.04932
"NN1","middle",21, 91.12962, 0.04932
"NN1","dinner",21, 91.12962, 0.04932
"NP1","john",21, 91.12962, 0.04932
"NP1","anne",21, 91.12962, 0.04932
"NN1","prince",21, 91.12962, 0.04932
"NP1","jenny",21, 91.12962, 0.04932
"NP1","haines",21, 91.12962, 0.04932
"NN2","fact",20, 86.79011, 0.04697
"NP1","duncan",20, 86.79011, 0.04697
"NN1","court",20, 86.79011, 0.04697
"NN1","glance",20, 86.79011, 0.04697
"NP1","dan",20, 86.79011, 0.04697
"NN2","tooth",20, 86.79011, 0.04697
"NN1","stone",20, 86.79011, 0.04697
"NP1","simon",20, 86.79011, 0.04697
"NN1","sleep",20, 86.79011, 0.04697
"NN2","line",20, 86.79011, 0.04697
"NN1","throat",20, 86.79011, 0.04697
"NN1","earth",20, 86.79011, 0.04697
"NN1","space",20, 86.79011, 0.04697
"NN2","street",20, 86.79011, 0.04697
"NN2","girl",20, 86.79011, 0.04697
"II","round",20, 86.79011, 0.04697
"NP1","jordan",20, 86.79011, 0.04697
"NN1","piece",20, 86.79011, 0.04697
"NP1","fred",20, 86.79011, 0.04697
"NP1","philip",20, 86.79011, 0.04697
"NP1","dobie",20, 86.79011, 0.04697
"NP1","halset",20, 86.79011, 0.04697
"NP1","light",20, 86.79011, 0.04697
"NP1","goldstein",19, 82.45061, 0.04462
"NN1","hospital",19, 82.45061, 0.04462
"NN1","manner",19, 82.45061, 0.04462
"NN2","one",19, 82.45061, 0.04462
"NP1","jerzy",19, 82.45061, 0.04462
"NN1","lunch",19, 82.45061, 0.04462
"NN1","track",19, 82.45061, 0.04462
"NP1","haley",19, 82.45061, 0.04462
"NP1","plasmo",19, 82.45061, 0.04462
"NN1","tone",19, 82.45061, 0.04462
"NN1","darkness",19, 82.45061, 0.04462
"NP1","martin",19, 82.45061, 0.04462
"NN1","breakfast",19, 82.45061, 0.04462
"NN1","sand",19, 82.45061, 0.04462
"NN2","parent",19, 82.45061, 0.04462
"NN1","hope",19, 82.45061, 0.04462
"NP1","william",19, 82.45061, 0.04462
"NN2","tear",19, 82.45061, 0.04462
"NN1","path",19, 82.45061, 0.04462
"NN2","knee",19, 82.45061, 0.04462
"NN1","sister",19, 82.45061, 0.04462
"NP1","stijn",19, 82.45061, 0.04462
"NN1","son",19, 82.45061, 0.04462
"NN1","game",19, 82.45061, 0.04462
"NN1","chest",19, 82.45061, 0.04462
"NN1","force",19, 82.45061, 0.04462
"NP1","kate",19, 82.45061, 0.04462
"NN1","gate",19, 82.45061, 0.04462
"NN1","shot",19, 82.45061, 0.04462
"NP1","manning",19, 82.45061, 0.04462
"NN2","room",19, 82.45061, 0.04462
"NN1","machine",19, 82.45061, 0.04462
"NN1","gentleman",19, 82.45061, 0.04462
"NP1","weldon",19, 82.45061, 0.04462
"NP1","darina",19, 82.45061, 0.04462
"NNT1","summer",18, 78.11110, 0.04227
"NP1","slider",18, 78.11110, 0.04227
"NN1","care",18, 78.11110, 0.04227
"NN2","light",18, 78.11110, 0.04227
"NP1","foley",18, 78.11110, 0.04227
"NN2","face",18, 78.11110, 0.04227
"NN1","relationship",18, 78.11110, 0.04227
"NN1","leg",18, 78.11110, 0.04227
"NN2","thank",18, 78.11110, 0.04227
"NN1","service",18, 78.11110, 0.04227
"NN1","knowledge",18, 78.11110, 0.04227
"NN1","cab",18, 78.11110, 0.04227
"NP1","hector",18, 78.11110, 0.04227
"NN1","shirt",18, 78.11110, 0.04227
"NN1","entrance",18, 78.11110, 0.04227
"NP1","willis",18, 78.11110, 0.04227
"NN2","circumstance",18, 78.11110, 0.04227
"NN1","murderer",17, 73.77159, 0.03992
"NN1","result",17, 73.77159, 0.03992
"NN1","blow",17, 73.77159, 0.03992
"NN1","courage",17, 73.77159, 0.03992
"NN2","name",17, 73.77159, 0.03992
"NP1","nick",17, 73.77159, 0.03992
"NNO","dozen",17, 73.77159, 0.03992
"NN1","duty",17, 73.77159, 0.03992
"NN2","footstep",17, 73.77159, 0.03992
"NP1","dawkins",17, 73.77159, 0.03992
"NN1","luck",17, 73.77159, 0.03992
"NN1","touch",17, 73.77159, 0.03992
"NN1","violence",17, 73.77159, 0.03992
"NN","pair",17, 73.77159, 0.03992
"NN2","shadow",17, 73.77159, 0.03992
"NN1","lane",17, 73.77159, 0.03992
"NP1","grace",17, 73.77159, 0.03992
"NN1","subject",17, 73.77159, 0.03992
"NN1","doorway",17, 73.77159, 0.03992
"NN1","bullet",17, 73.77159, 0.03992
"NN1","apartment",17, 73.77159, 0.03992
"NN2","detail",17, 73.77159, 0.03992
"NNL1","road",17, 73.77159, 0.03992
"NP1","viola",17, 73.77159, 0.03992
"NN1","strength",17, 73.77159, 0.03992
"NN1","impression",17, 73.77159, 0.03992
"NN1","help",17, 73.77159, 0.03992
"PPY","ye",17, 73.77159, 0.03992
"UH","eh",17, 73.77159, 0.03992
"NP1","kramer",17, 73.77159, 0.03992
"VM","let''s",17, 73.77159, 0.03992
"NN1","policeman",17, 73.77159, 0.03992
"NN1","deal",17, 73.77159, 0.03992
"NN1","card",17, 73.77159, 0.03992
"NN1","ear",17, 73.77159, 0.03992
"NNB","uncle",17, 73.77159, 0.03992
"NP1","may",17, 73.77159, 0.03992
"NP1","harrigan",17, 73.77159, 0.03992
"NP1","beacham",17, 73.77159, 0.03992
"NP1","francesca",17, 73.77159, 0.03992
"NP1","tim",16, 69.43209, 0.03758
"PN","plenty",16, 69.43209, 0.03758
"NP1","grundy",16, 69.43209, 0.03758
"NN1","report",16, 69.43209, 0.03758
"NP1","wilson",16, 69.43209, 0.03758
"NN1","driver",16, 69.43209, 0.03758
"NNT1","second",16, 69.43209, 0.03758
"NP1","birch",16, 69.43209, 0.03758
"NN1","traffic",16, 69.43209, 0.03758
"NN1","effort",16, 69.43209, 0.03758
"PPIS1","i",16, 69.43209, 0.03758
"NN1","boat",16, 69.43209, 0.03758
"NN1","area",16, 69.43209, 0.03758
"NN1","appearance",16, 69.43209, 0.03758
"NN1","baby",16, 69.43209, 0.03758
"NN1","explanation",16, 69.43209, 0.03758
"NN1","nose",16, 69.43209, 0.03758
"NN1","pain",16, 69.43209, 0.03758
"NN1","shock",16, 69.43209, 0.03758
"NN1","walk",16, 69.43209, 0.03758
"NN1","interview",16, 69.43209, 0.03758
"NN1","grass",16, 69.43209, 0.03758
"NN2","shoe",16, 69.43209, 0.03758
"NN1","farm",16, 69.43209, 0.03758
"NN1","need",16, 69.43209, 0.03758
"NP1","alex",16, 69.43209, 0.03758
"NP1","kitty",16, 69.43209, 0.03758
"NN1","brother",16, 69.43209, 0.03758
"NP1","dora",16, 69.43209, 0.03758
"NN2","place",15, 65.09258, 0.03523
"NN1","order",15, 65.09258, 0.03523
"NN1","fellow",15, 65.09258, 0.03523
"NN1","affair",15, 65.09258, 0.03523
"NN1","reply",15, 65.09258, 0.03523
"NN1","motive",15, 65.09258, 0.03523
"NN1","chap",15, 65.09258, 0.03523
"NN1","suspicion",15, 65.09258, 0.03523
"NN1","change",15, 65.09258, 0.03523
"NN1","sheet",15, 65.09258, 0.03523
"NP1","bates",15, 65.09258, 0.03523
"NN2","case",15, 65.09258, 0.03523
"NN1","madam",15, 65.09258, 0.03523
"NN1","power",15, 65.09258, 0.03523
"NN","staff",15, 65.09258, 0.03523
"NN1","fuck",15, 65.09258, 0.03523
"NN1","chain",15, 65.09258, 0.03523
"NNT1","whit",15, 65.09258, 0.03523
"NN1","holiday",15, 65.09258, 0.03523
"NN2","neighbour",15, 65.09258, 0.03523
"NN2","moment",15, 65.09258, 0.03523
"NN1","length",15, 65.09258, 0.03523
"NN1","use",15, 65.09258, 0.03523
"NN2","building",15, 65.09258, 0.03523
"NN1","constable",15, 65.09258, 0.03523
"NN2","curtain",15, 65.09258, 0.03523
"NN1","corpse",15, 65.09258, 0.03523
"NP1","chrystel",15, 65.09258, 0.03523
"NN1","hole",15, 65.09258, 0.03523
"NN2","way",15, 65.09258, 0.03523
"NP1","billy",15, 65.09258, 0.03523
"NN1","whisper",15, 65.09258, 0.03523
"NN1","mirror",15, 65.09258, 0.03523
"NP1","ellie",15, 65.09258, 0.03523
"NP1","eileen",15, 65.09258, 0.03523
"NN1","state",15, 65.09258, 0.03523
"NN1","tree",15, 65.09258, 0.03523
"NN1","choice",15, 65.09258, 0.03523
"NN1","range",15, 65.09258, 0.03523
"NP1","drewitt",15, 65.09258, 0.03523
"NP1","braden",15, 65.09258, 0.03523
"NN1","chef",15, 65.09258, 0.03523
"NN1","occasion",14, 60.75308, 0.03288
"NN1","amount",14, 60.75308, 0.03288
"NP1","campenhaye",14, 60.75308, 0.03288
"NN1","character",14, 60.75308, 0.03288
"NN1","party",14, 60.75308, 0.03288
"NN1","bag",14, 60.75308, 0.03288
"NN2","boot",14, 60.75308, 0.03288
"NNB","dr",14, 60.75308, 0.03288
"NN1","brain",14, 60.75308, 0.03288
"NN1","effect",14, 60.75308, 0.03288
"NN1","beauty",14, 60.75308, 0.03288
"CS22","case",14, 60.75308, 0.03288
"NN1","opportunity",14, 60.75308, 0.03288
"NP1","martha",14, 60.75308, 0.03288
"NP1","colin",14, 60.75308, 0.03288
"NN2","student",14, 60.75308, 0.03288
"RT","tomorrow",14, 60.75308, 0.03288
"NN2","movement",14, 60.75308, 0.03288
"NN1","gaze",14, 60.75308, 0.03288
"NN1","set",14, 60.75308, 0.03288
"NN1","hedge",14, 60.75308, 0.03288
"NP1","akhtar",14, 60.75308, 0.03288
"NN1","horror",14, 60.75308, 0.03288
"NN2","sign",14, 60.75308, 0.03288
"NN1","weight",14, 60.75308, 0.03288
"NN1","sky",14, 60.75308, 0.03288
"NN1","collar",14, 60.75308, 0.03288
"NN1","drawer",14, 60.75308, 0.03288
"NN1","danger",14, 60.75308, 0.03288
"NN1","widow",14, 60.75308, 0.03288
"NN1","wood",14, 60.75308, 0.03288
"NN1","judge",14, 60.75308, 0.03288
"NN1","picture",14, 60.75308, 0.03288
"NN1","tv",14, 60.75308, 0.03288
"NP1","routledge",14, 60.75308, 0.03288
"NP1","parker",14, 60.75308, 0.03288
"NN1","sergeant",14, 60.75308, 0.03288
"RT","yesterday",14, 60.75308, 0.03288
"NN1","step",14, 60.75308, 0.03288
"NN1","centre",14, 60.75308, 0.03288
"NN1","frame",14, 60.75308, 0.03288
"NN1","darling",14, 60.75308, 0.03288
"NN1","newspaper",14, 60.75308, 0.03288
"NN1","living-room",14, 60.75308, 0.03288
"NP1","shale",14, 60.75308, 0.03288
"NP1","archer",14, 60.75308, 0.03288
"NP1","edwin",14, 60.75308, 0.03288
"NP1","finch",14, 60.75308, 0.03288
"NP1","sally",14, 60.75308, 0.03288
"NP1","mackay",14, 60.75308, 0.03288
"NP1","bob",14, 60.75308, 0.03288
"NN2","guy",13, 56.41357, 0.03053
"NP1","merrion",13, 56.41357, 0.03053
"NN1","solicitor",13, 56.41357, 0.03053
"NN1","firm",13, 56.41357, 0.03053
"NN1","confidence",13, 56.41357, 0.03053
"NN1","nishi",13, 56.41357, 0.03053
"NP1","geraldine",13, 56.41357, 0.03053
"NN1","hold",13, 56.41357, 0.03053
"NN1","talk",13, 56.41357, 0.03053
"NN1","turn",13, 56.41357, 0.03053
"NN1","form",13, 56.41357, 0.03053
"NN1","investigation",13, 56.41357, 0.03053
"NNT1","midnight",13, 56.41357, 0.03053
"NP1","tony",13, 56.41357, 0.03053
"NN2","body",13, 56.41357, 0.03053
"NN1","bastard",13, 56.41357, 0.03053
"TO","tae",13, 56.41357, 0.03053
"NN1","trick",13, 56.41357, 0.03053
"RL","downstairs",13, 56.41357, 0.03053
"NN2","ear",13, 56.41357, 0.03053
"NN1","crowd",13, 56.41357, 0.03053
"NN1","ladder",13, 56.41357, 0.03053
"NP1","maureen",13, 56.41357, 0.03053
"NN1","whisky",13, 56.41357, 0.03053
"NN1","mistake",13, 56.41357, 0.03053
