"corpus","preloaded/brown_family_1"
"subcorpus","###M3040898399593372265###"
"note",90,261.90809
"work",89,258.99800
"business",88,256.08791
"father",88,256.08791
"trouble",87,253.17782
"part",86,250.26773
"murder",85,247.35764
"job",84,244.44755
"Mr",84,244.44755
"month",82,238.62737
"finger",81,235.71728
"anyone",80,232.80719
"guy",79,229.89710
"chance",79,229.89710
"number",79,229.89710
"pocket",79,229.89710
"building",79,229.89710
"mother",79,229.89710
"key",79,229.89710
"story",79,229.89710
"mouth",78,226.98701
"desk",78,226.98701
"kitchen",78,226.98701
"Jane",77,224.07692
"line",77,224.07692
"person",75,218.25674
"figure",74,215.34665
"corner",73,212.43656
"sound",73,212.43656
"God",71,206.61638
"Graham",70,203.70629
"world",69,200.79620
"kid",69,200.79620
"step",68,197.88611
"air",67,194.97602
"other",67,194.97602
"book",67,194.97602
"silence",66,192.06593
"smile",65,189.15584
"top",63,183.33566
"husband",63,183.33566
"Laurie",63,183.33566
"sense",63,183.33566
"box",62,180.42557
"coffee",62,180.42557
"sister",60,174.60539
"today",60,174.60539
"truth",60,174.60539
"scene",60,174.60539
"phone",59,171.69530
"sight",59,171.69530
"hall",59,171.69530
"nobody",59,171.69530
"heart",59,171.69530
"hotel",58,168.78521
"sir",58,168.78521
"call",58,168.78521
"drink",58,168.78521
"London",57,165.87512
"station",57,165.87512
"afternoon",57,165.87512
"leg",57,165.87512
"Mary",56,162.96503
"Anna",56,162.96503
"shadow",56,162.96503
"family",55,160.05494
"town",55,160.05494
"bedroom",55,160.05494
"truck",55,160.05494
"sign",55,160.05494
"tree",55,160.05494
"lady",53,154.23476
"ground",53,154.23476
"seat",53,154.23476
"crime",52,151.32467
"daughter",52,151.32467
"apartment",52,151.32467
"information",52,151.32467
"blood",52,151.32467
"breath",51,148.41458
"news",51,148.41458
"feeling",50,145.50449
"attention",50,145.50449
"direction",50,145.50449
"officer",50,145.50449
"bar",50,145.50449
"hat",50,145.50449
"stair",49,142.59440
"Miss",49,142.59440
"none",49,142.59440
"river",48,139.68431
"city",48,139.68431
"Adam",48,139.68431
"picture",48,139.68431
"hell",48,139.68431
"answer",48,139.68431
"cigarette",48,139.68431
"rest",47,136.77422
"evidence",47,136.77422
"mile",47,136.77422
"school",47,136.77422
"interest",47,136.77422
"fear",46,133.86413
"somebody",46,133.86413
"view",46,133.86413
"doctor",46,133.86413
"Nick",46,133.86413
"Jamie",46,133.86413
"yard",46,133.86413
"garden",45,130.95404
"bottle",45,130.95404
"problem",45,130.95404
"company",45,130.95404
"piece",44,128.04395
"plan",44,128.04395
"love",44,128.04395
"detective",44,128.04395
"doubt",44,128.04395
"boat",44,128.04395
"deal",43,125.13386
"Betty",43,125.13386
"Pete",43,125.13386
"conversation",43,125.13386
"report",42,122.22377
"hope",42,122.22377
"edge",42,122.22377
"lip",42,122.22377
"spot",42,122.22377
"order",42,122.22377
"shot",42,122.22377
"noise",42,122.22377
"George",42,122.22377
"while",42,122.22377
"Tim",42,122.22377
"clothes",42,122.22377
"driver",42,122.22377
"Inspector",42,122.22377
"Lara",41,119.31368
"coat",41,119.31368
"jacket",40,116.40359
"Roberts",40,116.40359
"Rose",40,116.40359
"fire",40,116.40359
"policeman",40,116.40359
"roof",39,113.49350
"gentleman",39,113.49350
"watch",39,113.49350
"Street",39,113.49350
"knee",38,110.58341
"newspaper",38,110.58341
"tooth",38,110.58341
"second",38,110.58341
"sun",38,110.58341
"block",38,110.58341
"court",38,110.58341
"Jacko",38,110.58341
"telephone",37,107.67332
"class",37,107.67332
"cup",37,107.67332
"situation",37,107.67332
"Peter",37,107.67332
"glance",37,107.67332
"address",37,107.67332
"Paddy",37,107.67332
"game",37,107.67332
"party",36,104.76324
"Elaine",36,104.76324
"pain",36,104.76324
"surprise",36,104.76324
"son",36,104.76324
"Anthony",36,104.76324
"ear",36,104.76324
"stuff",36,104.76324
"dinner",36,104.76324
"age",36,104.76324
"Wynter",36,104.76324
"everyone",36,104.76324
"neck",35,101.85315
"hospital",35,101.85315
"throat",35,101.85315
"action",35,101.85315
"photograph",35,101.85315
"Heather",35,101.85315
"sheet",35,101.85315
"Sarah",35,101.85315
"distance",35,101.85315
"Rollison",34,98.94306
"metal",34,98.94306
"bank",34,98.94306
"area",34,98.94306
"Gerry",34,98.94306
"suit",34,98.94306
"detail",34,98.94306
"Terrel",34,98.94306
"corridor",34,98.94306
"food",33,96.03297
"chest",33,96.03297
"manner",33,96.03297
"message",33,96.03297
"Loddon",33,96.03297
"expression",33,96.03297
"Andy",33,96.03297
"one",33,96.03297
"middle",33,96.03297
"Alec",33,96.03297
"lawyer",33,96.03297
"lunch",33,96.03297
"brain",33,96.03297
"half",33,96.03297
"Beth",33,96.03297
"New",33,96.03297
"possibility",33,96.03297
"Tarrant",33,96.03297
"firm",33,96.03297
"Stanley",32,93.12288
"relief",32,93.12288
"drive",32,93.12288
"stone",32,93.12288
"anybody",32,93.12288
"Faraday",32,93.12288
"Farland",32,93.12288
"entrance",32,93.12288
"Hawk",32,93.12288
"wood",32,93.12288
"wind",32,93.12288
"murderer",32,93.12288
"motive",32,93.12288
"Falkland",31,90.21279
"tea",31,90.21279
"Hugh",31,90.21279
"Mike",31,90.21279
"service",31,90.21279
"Sargasta",31,90.21279
"radio",31,90.21279
"touch",31,90.21279
"Reacher",31,90.21279
"bag",31,90.21279
"Winter",31,90.21279
"row",31,90.21279
"need",31,90.21279
"Fabel",30,87.30270
"dream",30,87.30270
"spirit",30,87.30270
"MacLeod",30,87.30270
"blow",30,87.30270
"space",30,87.30270
"occasion",30,87.30270
"Kennan",30,87.30270
"affair",30,87.30270
"I",30,87.30270
"breakfast",30,87.30270
"Porter",30,87.30270
"inch",30,87.30270
"change",30,87.30270
"dress",30,87.30270
"tomorrow",30,87.30270
"farm",29,84.39261
"village",29,84.39261
"Gill",29,84.39261
"Shayne",29,84.39261
"Sir",29,84.39261
"care",29,84.39261
"stage",29,84.39261
"Costello",29,84.39261
"Stijn",29,84.39261
"walk",29,84.39261
"garage",29,84.39261
"wheel",29,84.39261
"weight",29,84.39261
"Olga",29,84.39261
"circumstance",29,84.39261
"student",29,84.39261
"investigation",29,84.39261
"beach",29,84.39261
"Alex",29,84.39261
"start",29,84.39261
"Manrique",28,81.48252
"luck",28,81.48252
"position",28,81.48252
"skin",28,81.48252
"trial",28,81.48252
"help",28,81.48252
"pair",28,81.48252
"tone",28,81.48252
"left",28,81.48252
"anger",28,81.48252
"suspicion",28,81.48252
"law",28,81.48252
"state",28,81.48252
"choice",28,81.48252
"Turner",28,81.48252
"boot",28,81.48252
"Cameron",28,81.48252
"power",28,81.48252
"shoe",28,81.48252
"mistake",28,81.48252
"result",28,81.48252
"gate",28,81.48252
"Phil",28,81.48252
"victim",28,81.48252
"Michael",27,78.57243
"machine",27,78.57243
"country",27,78.57243
"duty",27,78.57243
"track",27,78.57243
"crowd",27,78.57243
"member",27,78.57243
"cat",27,78.57243
"field",27,78.57243
"Amy",27,78.57243
"leather",27,78.57243
"subject",27,78.57243
"Felicity",27,78.57243
"account",27,78.57243
"accident",27,78.57243
"nose",27,78.57243
"knowledge",27,78.57243
"brother",27,78.57243
"Allen",27,78.57243
"House",27,78.57243
"witness",27,78.57243
"shirt",27,78.57243
"effort",27,78.57243
"movement",27,78.57243
"Wilson",27,78.57243
"Mma",27,78.57243
"search",27,78.57243
"set",27,78.57243
"William",27,78.57243
"interview",27,78.57243
"sake",27,78.57243
"patient",27,78.57243
"darkness",26,75.66234
"danger",26,75.66234
"Mallard",26,75.66234
"relationship",26,75.66234
"curtain",26,75.66234
"parent",26,75.66234
"traffic",26,75.66234
"Dobree",26,75.66234
"form",26,75.66234
"sleep",26,75.66234
"yesterday",26,75.66234
"length",26,75.66234
"visit",26,75.66234
"sea",26,75.66234
"Yafford",26,75.66234
"judge",26,75.66234
"dozen",26,75.66234
"music",26,75.66234
"Hall",26,75.66234
"Nishi",26,75.66234
"Morris",26,75.66234
"pickup",26,75.66234
"Felix",26,75.66234
"clerk",26,75.66234
"date",25,72.75225
"baby",25,72.75225
"Jordan",25,72.75225
"list",25,72.75225
"steel",25,72.75225
"record",25,72.75225
"Leo",25,72.75225
"appearance",25,72.75225
"card",25,72.75225
"Killpath",25,72.75225
"bus",25,72.75225
"mirror",25,72.75225
"bullet",25,72.75225
"group",25,72.75225
"Jimmy",25,72.75225
"lane",25,72.75225
"force",25,72.75225
"York",25,72.75225
"Owen",25,72.75225
"summer",25,72.75225
"Gorley",25,72.75225
"moon",25,72.75225
"Plasmo",25,72.75225
"Arthur",25,72.75225
"engine",25,72.75225
"Father",25,72.75225
"Alan",25,72.75225
"ball",24,69.84216
"park",24,69.84216
"memory",24,69.84216
"explanation",24,69.84216
"Tom",24,69.84216
"argument",24,69.84216
"Road",24,69.84216
"talk",24,69.84216
"opportunity",24,69.84216
"Lea",24,69.84216
"fool",24,69.84216
"cab",24,69.84216
"land",24,69.84216
"Josh",24,69.84216
"Ramotswe",24,69.84216
"cop",24,69.84216
"eleven",24,69.84216
"pipe",24,69.84216
"Boyd",24,69.84216
"sand",24,69.84216
"strength",24,69.84216
"van",24,69.84216
"bird",24,69.84216
"fellow",24,69.84216
"Malcolm",23,66.93207
"chapter",23,66.93207
"Slider",23,66.93207
"Duncan",23,66.93207
"hawk",23,66.93207
"Lieutenant",23,66.93207
"Anne",23,66.93207
"sky",23,66.93207
"meeting",23,66.93207
"object",23,66.93207
"Killingley",23,66.93207
"envelope",23,66.93207
"Richie",23,66.93207
"Kate",23,66.93207
"Prince",23,66.93207
"Cedric",23,66.93207
"Hoag",23,66.93207
"bottom",23,66.93207
"drawer",23,66.93207
"plenty",23,66.93207
"will",23,66.93207
"Billy",23,66.93207
"furniture",23,66.93207
"use",23,66.93207
"Ulla",23,66.93207
"Sunday",23,66.93207
"turn",22,64.02198
"hole",22,64.02198
"audience",22,64.02198
"Skyros",22,64.02198
"Simon",22,64.02198
"rain",22,64.02198
"Appleby",22,64.02198
"lid",22,64.02198
"Rourke",22,64.02198
"Koesler",22,64.02198
"priest",22,64.02198
"James",22,64.02198
"knife",22,64.02198
"Chief",22,64.02198
"Police",22,64.02198
"Charles",22,64.02198
"return",22,64.02198
"tear",22,64.02198
"effect",22,64.02198
"earth",22,64.02198
"tape",22,64.02198
"Campion",22,64.02198
"impression",22,64.02198
"plate",22,64.02198
"shock",22,64.02198
"tae",22,64.02198
"control",22,64.02198
"dollar",22,64.02198
"bill",22,64.02198
"cloud",22,64.02198
"Gillian",22,64.02198
"statement",22,64.02198
"McLeish",22,64.02198
"Maude",22,64.02198
"Madden",21,61.11189
"tonight",21,61.11189
"Detective",21,61.11189
"Dawkins",21,61.11189
"size",21,61.11189
"oil",21,61.11189
"event",21,61.11189
"lamp",21,61.11189
"Jerzy",21,61.11189
"Jenny",21,61.11189
"Connor",21,61.11189
"pound",21,61.11189
"path",21,61.11189
"Haney",21,61.11189
"Poet",21,61.11189
"poet",21,61.11189
"stranger",21,61.11189
"Pelligrew",21,61.11189
"Hildie",21,61.11189
"Hilary",21,61.11189
"computer",21,61.11189
"bone",21,61.11189
"downstairs",21,61.11189
"Haines",21,61.11189
"doorway",21,61.11189
"test",21,61.11189
"French",21,61.11189
"Vera",21,61.11189
"violence",21,61.11189
"Mother",21,61.11189
"Asman",21,61.11189
"hurry",21,61.11189
"match",21,61.11189
"circle",21,61.11189
"May",21,61.11189
"reporter",20,58.20180
"Martin",20,58.20180
"charge",20,58.20180
"attempt",20,58.20180
"staff",20,58.20180
"page",20,58.20180
"Dr.",20,58.20180
"hill",20,58.20180
"Dobie",20,58.20180
"Saturday",20,58.20180
"experience",20,58.20180
"courage",20,58.20180
"Dan",20,58.20180
"Fred",20,58.20180
"amount",20,58.20180
"Kramer",20,58.20180
"beer",20,58.20180
"Kitti",20,58.20180
"estate",20,58.20180
"corpse",20,58.20180
"bastard",20,58.20180
"wrist",20,58.20180
"grass",20,58.20180
"Charlie",20,58.20180
"Philip",20,58.20180
"term",20,58.20180
"mine",20,58.20180
"Park",20,58.20180
"comment",20,58.20180
"surface",20,58.20180
"Halset",20,58.20180
"stop",20,58.20180
"eh",20,58.20180
"difference",20,58.20180
"Goldstein",20,58.20180
"Gabriel",20,58.20180
"storey",20,58.20180
"midnight",20,58.20180
"fist",20,58.20180
"TV",20,58.20180
"Annie",20,58.20180
"fence",20,58.20180
"ring",20,58.20180
"partner",19,55.29171
"reply",19,55.29171
"Manning",19,55.29171
"character",19,55.29171
"chin",19,55.29171
"Sergeant",19,55.29171
"level",19,55.29171
"Cy",19,55.29171
"Darina",19,55.29171
"Juan",19,55.29171
"Qwilleran",19,55.29171
"nerve",19,55.29171
"marriage",19,55.29171
"smoke",19,55.29171
"gesture",19,55.29171
"Yard",19,55.29171
"confidence",19,55.29171
"Weldon",19,55.29171
"weapon",19,55.29171
"Haley",19,55.29171
"killer",19,55.29171
"Glyn",19,55.29171
"Gillsworth",19,55.29171
"Gilborn",19,55.29171
"Tony",19,55.29171
"Moore",19,55.29171
"stomach",19,55.29171
"Francesca",19,55.29171
"island",19,55.29171
"background",18,52.38162
"parking",18,52.38162
"passage",18,52.38162
"panic",18,52.38162
"cause",18,52.38162
"ceiling",18,52.38162
"Dimitri",18,52.38162
"Let''s",18,52.38162
"lock",18,52.38162
"angle",18,52.38162
"couch",18,52.38162
"Lady",18,52.38162
"Angie",18,52.38162
"everybody",18,52.38162
"wave",18,52.38162
"pressure",18,52.38162
"post",18,52.38162
"bundle",18,52.38162
"print",18,52.38162
"Casey",18,52.38162
"Captain",18,52.38162
"wine",18,52.38162
"Willis",18,52.38162
"Hector",18,52.38162
"Harrigan",18,52.38162
"color",18,52.38162
"colour",18,52.38162
"board",18,52.38162
"Bob",18,52.38162
"instant",18,52.38162
"difficulty",18,52.38162
"footstep",18,52.38162
"Garth",18,52.38162
"Gaffer",18,52.38162
"client",18,52.38162
"Foley",18,52.38162
"file",18,52.38162
"fight",18,52.38162
"identification",18,52.38162
"Martha",17,49.47153
"cheek",17,49.47153
"dark",17,49.47153
"holiday",17,49.47153
"cut",17,49.47153
"Major",17,49.47153
"hip",17,49.47153
"pad",17,49.47153
"hedge",17,49.47153
"chain",17,49.47153
"heaven",17,49.47153
"crook",17,49.47153
"Dora",17,49.47153
"arrival",17,49.47153
"Sharon",17,49.47153
"patch",17,49.47153
"skirt",17,49.47153
"camera",17,49.47153
"threat",17,49.47153
"nurse",17,49.47153
"signature",17,49.47153
"laugh",17,49.47153
"show",17,49.47153
"thank",17,49.47153
"Jago",17,49.47153
"Christmas",17,49.47153
"Chrystel",17,49.47153
"neighbour",17,49.47153
"elbow",17,49.47153
"Cheryl",17,49.47153
"university",17,49.47153
"nature",17,49.47153
"shape",17,49.47153
"Henry",17,49.47153
"comfort",17,49.47153
"Harris",17,49.47153
"college",17,49.47153
"whisper",17,49.47153
"shade",17,49.47153
"Viola",17,49.47153
"motor",17,49.47153
"Green",17,49.47153
"suitcase",17,49.47153
"fuck",17,49.47153
"Grace",17,49.47153
"standing",17,49.47153
"inside",17,49.47153
"Beach",17,49.47153
"intention",17,49.47153
"Beacham",17,49.47153
"strip",17,49.47153
"minister",17,49.47153
"beauty",17,49.47153
"Friday",17,49.47153
"Merrion",17,49.47153
"Fisher",17,49.47153
"ice",17,49.47153
"Meeker",17,49.47153
"pen",17,49.47153
"decision",17,49.47153
"Uncle",17,49.47153
"Everything",16,46.56144
"customer",16,46.56144
"speed",16,46.56144
"Mahzeer",16,46.56144
"chap",16,46.56144
"hold",16,46.56144
"eyebrow",16,46.56144
"living-room",16,46.56144
"cell",16,46.56144
"rate",16,46.56144
"quarter",16,46.56144
"appointment",16,46.56144
"counter",16,46.56144
"Roosevelt",16,46.56144
"Roisin",16,46.56144
"prison",16,46.56144
"tie",16,46.56144
"leave",16,46.56144
"airport",16,46.56144
"laughter",16,46.56144
"habit",16,46.56144
"Joan",16,46.56144
"presence",16,46.56144
"pot",16,46.56144
"unit",16,46.56144
"excuse",16,46.56144
"cap",16,46.56144
"content",16,46.56144
"wire",16,46.56144
"gang",16,46.56144
"terror",16,46.56144
"plane",16,46.56144
"Handley",16,46.56144
"Harry",16,46.56144
"mud",16,46.56144
"item",16,46.56144
"collar",16,46.56144
"Grundy",16,46.56144
"Blanche",16,46.56144
"Birch",16,46.56144
"instance",16,46.56144
"Bates",16,46.56144
"run",16,46.56144
"inspector",16,46.56144
"forehead",16,46.56144
"clock",16,46.56144
"fingerprint",16,46.56144
"pavement",16,46.56144
"material",16,46.56144
"mean",16,46.56144
"description",16,46.56144
"warning",16,46.56144
"manager",15,43.65135
"horror",15,43.65135
"darling",15,43.65135
"chef",15,43.65135
"trick",15,43.65135
"Ellie",15,43.65135
"past",15,43.65135
"lounge",15,43.65135
"homicide",15,43.65135
"Edwin",15,43.65135
"Eileen",15,43.65135
"Drewitt",15,43.65135
"cry",15,43.65135
"train",15,43.65135
"reading",15,43.65135
"song",15,43.65135
"lobby",15,43.65135
"outside",15,43.65135
"David",15,43.65135
"ticket",15,43.65135
"oak",15,43.65135
"lawn",15,43.65135
"Julia",15,43.65135
"shop",15,43.65135
"ladder",15,43.65135
"tip",15,43.65135
"Chapter",15,43.65135
"contact",15,43.65135
"team",15,43.65135
"gaze",15,43.65135
"gas",15,43.65135
"porch",15,43.65135
"Burton",15,43.65135
"series",15,43.65135
"sweat",15,43.65135
"Warren",15,43.65135
"Braden",15,43.65135
"Whit",15,43.65135
"suite",15,43.65135
"frame",15,43.65135
"forty",15,43.65135
"blade",15,43.65135
"secret",15,43.65135
"folk",15,43.65135
"bell",15,43.65135
"Beck",15,43.65135
"inquiry",15,43.65135
"Akhtar",15,43.65135
"incident",15,43.65135
"risk",15,43.65135
"Monday",15,43.65135
"rope",15,43.65135
"Avenue",15,43.65135
"rifle",15,43.65135
"Mickey",15,43.65135
"department",15,43.65135
"church",15,43.65135
"imagination",15,43.65135
"ye",15,43.65135
"wedding",15,43.65135
"fish",15,43.65135
"fashion",14,40.74126
"Stan",14,40.74126
"Marty",14,40.74126
"store",14,40.74126
"maid",14,40.74126
"English",14,40.74126
"Mae",14,40.74126
"attack",14,40.74126
"Mackay",14,40.74126
"fault",14,40.74126
"reaction",14,40.74126
"razor",14,40.74126
"reacher",14,40.74126
"Dr",14,40.74126
"owner",14,40.74126
"Shale",14,40.74126
"suggestion",14,40.74126
"heat",14,40.74126
"lieutenant",14,40.74126
"spade",14,40.74126
"sofa",14,40.74126
"treatment",14,40.74126
"rage",14,40.74126
"Sally",14,40.74126
"Routledge",14,40.74126
"opium",14,40.74126
"alibi",14,40.74126
"Rev",14,40.74126
"purpose",14,40.74126
"Court",14,40.74126
"Red",14,40.74126
"Cooper",14,40.74126
"Karen",14,40.74126
"enough",14,40.74126
"Constable",14,40.74126
"Johnny",14,40.74126
"Joel",14,40.74126
"price",14,40.74126
"grief",14,40.74126
"advantage",14,40.74126
"Colin",14,40.74126
"license",14,40.74126
"Jack",14,40.74126
"Jackie",14,40.74126
"glove",14,40.74126
"quality",14,40.74126
"Hotel",14,40.74126
"television",14,40.74126
"condition",14,40.74126
"joke",14,40.74126
"taste",14,40.74126
"Campenhaye",14,40.74126
"gap",14,40.74126
"meal",14,40.74126
"Paul",14,40.74126
"boss",14,40.74126
"Parker",14,40.74126
"Widgeon",14,40.74126
"conclusion",14,40.74126
"Wednesday",14,40.74126
"Webster",14,40.74126
"move",14,40.74126
"pit",14,40.74126
"sergeant",14,40.74126
"Victor",14,40.74126
"mountain",14,40.74126
"Black",14,40.74126
"blanket",14,40.74126
"Grant",14,40.74126
"Glendora",14,40.74126
"method",14,40.74126
"rubber",14,40.74126
"sale",14,40.74126
"flesh",14,40.74126
"suicide",14,40.74126
"Archer",14,40.74126
"Finch",14,40.74126
"winter",14,40.74126
"whisky",14,40.74126
"bathroom",14,40.74126
"visitor",14,40.74126
"response",13,37.83117
"spring",13,37.83117
"Maria",13,37.83117
"restaurant",13,37.83117
"mark",13,37.83117
"Maddy",13,37.83117
"uncle",13,37.83117
"attitude",13,37.83117
"curb",13,37.83117
"loss",13,37.83117
"Smith",13,37.83117
"Shevlin",13,37.83117
"arrest",13,37.83117
"range",13,37.83117
"atmosphere",13,37.83117
"uniform",13,37.83117
"cover",13,37.83117
"solicitor",13,37.83117
"captain",13,37.83117
"Sam",13,37.83117
"opinion",13,37.83117
"candle",13,37.83117
"offer",13,37.83117
"examination",13,37.83117
"revolver",13,37.83117
"Rique",13,37.83117
"Kitty",13,37.83117
"signal",13,37.83117
"siren",13,37.83117
"lead",13,37.83117
"Keegan",13,37.83117
"excitement",13,37.83117
"gut",13,37.83117
"actor",13,37.83117
"guard",13,37.83117
"guess",13,37.83117
"guest",13,37.83117
"Joe",13,37.83117
"Jim",13,37.83117
"grip",13,37.83117
"Jesus",13,37.83117
"Jessie",13,37.83117
"lad",13,37.83117
"Jupp",13,37.83117
